price,bathrooms,sqft_living,grade,sqft_above,sqft_living15
975000.0,2.5,2720,10,2720,2750
287000.0,2.5,2240,7,2240,2221
204000.0,1.0,1000,7,1000,1010
1325000.0,2.25,3200,8,1600,3390
1040000.0,3.25,4770,11,3070,3530
325000.0,2.0,1260,7,1260,1640
571000.0,2.0,2750,7,2250,1510
360000.0,2.5,2380,8,2380,2420
349000.0,1.75,1790,7,1090,1940
832500.0,4.0,3430,10,2390,3240
380000.0,1.75,1760,7,880,1680
480000.0,1.0,1040,7,1040,890
410000.0,1.0,1410,7,910,1130
720000.0,2.5,3450,10,3450,3350
390000.0,2.5,2350,8,2350,2350
360000.0,2.5,1900,7,1900,1870
355000.0,1.0,2020,7,1010,1720
356000.0,1.5,1680,8,1680,1850
315000.0,1.0,960,6,960,1570
940000.0,1.5,2140,9,1900,2020
305000.0,2.25,2660,7,2660,1590
461000.0,3.25,2770,9,1980,1900
215000.0,2.25,1610,7,1610,1950
335000.0,1.75,1030,7,765,1030
243500.0,2.5,1980,7,1980,1980
1099880.0,2.75,3520,10,3520,2520
153000.0,1.0,1200,7,1200,1350
430000.0,1.5,1580,8,1290,1570
700000.0,1.5,1580,8,1290,1570
905000.0,2.5,3300,7,2390,1950
247500.0,1.75,1960,7,1960,1750
199000.0,1.5,1160,7,1160,1160
314000.0,1.75,1810,7,1210,1650
437500.0,2.5,2320,9,2320,2550
850830.0,2.5,2070,9,1270,2200
555000.0,2.0,1980,7,1440,1610
699950.0,2.25,2190,8,2190,2570
1088000.0,2.5,2920,8,2920,2370
290000.0,1.0,1210,7,1210,1640
375000.0,2.5,2340,8,1460,2250
460000.0,1.0,1670,7,1170,1240
188500.0,1.75,1240,8,1240,1270
680000.0,2.5,3140,10,3140,2990
470000.0,1.75,2030,7,2030,2500
597750.0,2.5,2310,8,2310,1940
570000.0,1.75,1260,6,700,1380
272500.0,1.75,1540,7,1160,1540
329950.0,1.75,2080,7,1080,2090
480000.0,2.5,3230,9,2520,2640
740500.0,3.5,4380,8,2780,1830
518500.0,3.5,1590,8,1590,1620
205425.0,1.0,880,6,880,1190
171800.0,2.0,1570,6,1570,1880
535000.0,1.0,1610,7,1610,1610
660000.0,2.5,2400,8,1560,2340
391500.0,2.0,1450,7,1450,1580
395000.0,1.0,770,6,770,1710
445000.0,1.75,2100,7,1720,1850
770000.0,2.25,2910,9,2910,2700
1450000.0,2.75,2750,8,1980,3060
445000.0,2.25,2100,8,1620,2660
260000.0,2.25,2160,8,1360,2090
822500.0,3.5,2320,7,1720,1700
430000.0,2.5,2070,7,2070,1970
212000.0,1.75,1060,7,1060,1420
660500.0,2.25,2010,8,1440,2060
784000.0,3.5,3950,9,2460,2480
453246.0,2.5,2010,8,1390,1690
675000.0,3.5,2140,9,2140,1540
199000.0,1.75,1320,7,1320,1550
220000.0,1.75,2020,7,1010,1750
452000.0,2.25,2590,8,1340,1550
382500.0,1.0,1190,6,1190,1060
519950.0,2.25,1170,8,1170,1350
665000.0,1.0,1110,7,1110,1170
527700.0,2.5,2820,8,1550,2820
205000.0,1.0,1610,7,1010,1610
420000.0,1.0,1060,7,940,1560
500000.0,2.25,2030,8,1380,2230
921500.0,2.5,3670,9,3670,2840
890000.0,1.0,2550,8,2370,2200
430000.0,2.5,2420,7,2420,1940
258000.0,2.0,2260,8,1130,1360
511000.0,1.0,1430,7,980,1450
532170.0,2.0,1360,8,1360,1500
560000.0,1.0,1110,7,1110,1420
282950.0,1.0,1250,7,1250,1680
2250000.0,3.25,5180,12,3540,3160
350000.0,1.0,700,7,700,1010
215000.0,1.0,1180,7,1180,1190
650000.0,3.5,3960,9,2500,2640
320000.0,2.75,2640,8,1620,1980
247000.0,2.0,1270,7,1270,1160
320000.0,1.75,1760,8,1760,1730
255000.0,2.25,2060,7,1030,1010
438000.0,1.75,1780,7,1780,1200
900000.0,2.5,3400,10,3400,3400
441000.0,2.75,1910,7,1160,1710
420000.0,2.0,2020,7,1010,2110
370000.0,1.75,1580,7,1180,1640
269950.0,1.75,1340,5,700,1830
807100.0,2.5,2680,9,2680,2920
653000.0,2.5,2680,8,1610,2480
371500.0,2.0,1370,7,1370,1770
284000.0,1.75,1560,7,1560,1070
272000.0,1.75,2160,7,1670,1930
313000.0,1.5,1340,7,1340,1480
917500.0,2.5,3880,10,2570,3740
673000.0,2.25,2590,8,2590,2260
425000.0,2.5,1120,8,820,1590
399950.0,2.75,1970,7,1320,1280
385000.0,1.0,1220,6,1220,1200
269950.0,1.5,1950,7,1320,1950
330000.0,1.0,1350,7,1060,1540
260000.0,2.5,1670,7,1670,1670
470000.0,3.0,2380,7,1680,1410
589000.0,3.0,2440,7,2440,2290
163500.0,1.5,1050,7,1050,1050
835000.0,2.75,3130,9,2140,2260
1095000.0,3.0,4090,10,2090,2540
269000.0,1.75,1490,8,1100,2190
560000.0,2.5,1900,8,1900,2030
615000.0,1.0,1330,6,1330,1330
585188.0,2.25,2230,8,1430,2230
305000.0,1.75,1650,7,1220,1540
166950.0,1.0,1190,6,1190,1230
799000.0,2.5,2140,8,2140,2680
400000.0,2.5,2180,7,1420,1900
230000.0,1.0,1060,7,1060,1570
256883.0,2.5,1690,8,1690,2550
423000.0,2.0,1970,7,1130,1500
465000.0,2.5,2150,8,2150,1750
440000.0,2.5,1910,7,1910,2330
385000.0,1.75,1350,7,1350,1560
210000.0,1.0,860,6,860,1300
297000.0,2.5,1940,8,1940,2030
470000.0,1.0,1010,7,1010,1680
226500.0,1.5,1300,7,900,1430
274250.0,1.0,910,6,910,1400
840000.0,1.75,2480,9,1630,2770
677900.0,2.5,2440,8,2440,2750
425000.0,1.0,1010,7,1010,1290
180250.0,0.75,900,6,900,1250
464000.0,3.0,2300,7,1600,1560
320000.0,2.25,1550,8,1550,1630
625504.0,2.25,1270,8,1060,1160
592500.0,2.5,2240,9,2240,2520
465000.0,2.5,2714,9,2714,2590
477000.0,2.75,1720,8,1720,2130
280000.0,1.0,850,6,850,1100
1505000.0,3.0,3300,9,1870,3836
445838.0,2.5,2250,8,2250,1320
1072000.0,2.25,3900,8,1950,2580
467000.0,1.5,1320,8,1320,2120
686000.0,2.5,2760,10,2760,3070
279950.0,2.0,1750,7,1350,1900
527000.0,2.25,2330,8,2330,1910
325000.0,2.25,2220,8,1780,2080
328000.0,2.25,2020,7,2020,2020
390000.0,2.25,1250,7,1250,1280
479950.0,2.0,1510,8,1510,1640
264950.0,2.25,1720,7,1120,1510
235000.0,1.0,1430,7,980,1960
516500.0,2.5,1480,7,1480,2250
655000.0,1.75,1450,7,1230,2030
500000.0,2.75,2280,7,2280,2280
315000.0,2.75,2940,8,1780,2120
213000.0,1.0,1000,6,1000,1150
475000.0,1.5,2480,7,1620,2090
1025000.0,4.0,3760,10,3760,3430
416000.0,2.0,2220,7,1640,2070
410000.0,1.0,1970,7,1670,1510
800000.0,3.5,3830,10,3530,2920
472000.0,2.5,4410,9,2350,2600
225000.0,1.75,1430,7,1430,1190
210000.0,1.0,830,6,830,830
455000.0,1.0,1430,7,1430,1450
225000.0,1.0,1300,6,1300,1260
480000.0,1.0,1030,7,790,1390
363000.0,2.5,2740,9,2740,2570
2400000.0,2.5,3650,9,1830,3120
181000.0,1.5,720,6,720,1150
250000.0,2.0,2010,7,2010,2010
481000.0,1.75,1560,6,770,1390
260000.0,2.0,1810,7,1240,1750
455000.0,2.5,3360,9,3360,3060
415000.0,2.25,1510,8,1510,1730
349500.0,1.0,1400,7,800,1620
245000.0,2.5,1730,7,1730,1630
592500.0,2.0,1420,7,1420,1420
385000.0,1.75,2360,7,1180,1910
315000.0,1.75,1580,7,1200,1550
255000.0,1.0,1230,7,1230,1380
693000.0,2.5,2460,8,2460,2990
780000.0,1.0,1660,8,1460,1660
237000.0,1.75,1270,7,1270,1600
525000.0,2.25,2100,10,1320,2380
425000.0,1.0,770,5,770,1330
369900.0,0.75,760,5,760,1230
290000.0,2.5,1700,7,1700,1950
285000.0,1.0,1120,7,1120,1130
415000.0,1.0,1070,7,1070,1320
272500.0,2.5,2070,8,1420,2070
2900000.0,3.25,5050,11,4750,3890
1365000.0,4.75,5310,11,5310,4180
436000.0,1.0,1040,7,1040,1440
210000.0,1.0,1700,7,1700,1350
236000.0,1.0,1300,7,1300,1320
331000.0,1.75,1080,7,580,1440
365000.0,2.5,2653,8,2653,2653
450000.0,2.0,2290,8,2290,1660
770000.0,2.75,3820,9,2850,1860
455000.0,2.5,2210,8,2210,2670
405000.0,1.75,2390,6,1240,2020
304900.0,1.75,2600,7,1610,1720
170000.0,1.0,860,6,860,1650
2050000.0,3.0,3830,9,2630,3050
780000.0,2.5,3500,9,3500,3920
330000.0,3.0,2420,8,1740,2570
370000.0,2.5,2720,9,2720,2410
467000.0,2.25,2500,7,1850,2300
405000.0,1.75,1670,7,1140,1670
675000.0,2.25,2900,8,1450,2310
500000.0,1.0,1640,7,1140,1520
389999.0,2.5,1890,7,1890,2410
630000.0,1.75,2950,8,1780,2120
360000.0,2.5,2160,9,2160,2280
580000.0,3.0,3280,8,2270,2320
550000.0,2.0,1970,8,1270,2390
879000.0,2.5,3360,10,3360,3150
265000.0,2.0,1320,7,1320,1740
446500.0,2.5,2650,8,2650,2400
404000.0,1.5,2030,7,1330,2140
267500.0,1.75,1590,7,1090,1630
3075000.0,5.0,4550,10,2600,4550
335000.0,2.5,2440,8,2440,2510
576000.0,2.5,1940,7,970,2190
208633.0,2.5,2040,8,2040,2370
315000.0,2.25,2200,7,1120,1460
725000.0,1.75,1920,8,960,1740
550000.0,2.75,1800,8,1400,1800
610750.0,2.25,2180,8,2180,2250
550700.0,1.0,1010,6,1010,1460
665000.0,2.75,3320,8,2220,2720
834000.0,2.5,2370,8,1980,2440
201000.0,1.75,1660,6,1660,1660
2384000.0,2.5,3650,10,3370,2880
1384000.0,3.25,4290,11,2690,3860
1400000.0,3.25,4290,11,2690,3860
305000.0,2.25,1950,8,1350,2150
487000.0,2.0,2590,8,1720,1570
390000.0,2.5,1930,8,1930,2350
548000.0,1.0,1470,7,1170,1570
268750.0,1.0,800,6,800,1310
819900.0,2.75,3150,9,3150,1560
520000.0,2.25,2030,8,2030,2660
230000.0,2.0,1450,7,1450,1520
240000.0,1.75,1510,7,1510,1510
232000.0,1.0,1240,6,960,1820
240500.0,1.0,1240,6,960,1820
274975.0,2.5,3030,9,3030,3080
740000.0,2.0,2050,9,2050,2320
186375.0,1.0,1000,7,1000,1150
790000.0,2.25,2370,9,1590,2500
880000.0,3.5,2800,9,1890,2370
279000.0,1.75,2240,7,2240,1590
295000.0,2.0,1810,8,1810,1910
640000.0,1.0,1070,7,1070,1710
940000.0,2.0,2490,9,2490,2770
260000.0,2.5,1960,7,1960,1800
559900.0,2.75,2930,9,1860,2580
791500.0,2.0,1510,7,1510,1820
265000.0,1.75,1420,7,1420,1740
245000.0,1.75,1740,7,1740,880
485000.0,1.75,2560,7,2560,2560
684000.0,3.5,3040,9,2420,3470
425000.0,1.75,2500,8,1300,1580
309600.0,1.75,1275,6,1275,1660
552250.0,2.5,2580,8,2580,2380
165000.0,1.0,1000,6,1000,1020
239900.0,1.0,1000,6,1000,1020
320000.0,1.0,1070,6,1070,1360
206600.0,2.0,1390,7,1390,1720
387000.0,1.75,2500,7,1250,2040
299000.0,0.75,560,4,560,1300
855000.0,2.75,2270,9,2270,2610
315000.0,1.0,1900,7,1300,1940
437500.0,1.0,990,7,790,1930
252000.0,1.5,1550,7,1050,1640
375000.0,1.75,2200,7,1100,1600
300000.0,2.5,1910,7,1910,2010
420000.0,1.0,1750,7,1750,1750
900000.0,1.0,1330,7,1330,1340
679900.0,2.5,2440,9,1980,1520
463000.0,2.5,1640,7,1640,1580
380000.0,2.5,2760,9,2760,2470
329500.0,2.5,1820,7,1820,1820
604950.0,2.5,2110,8,1340,2040
795000.0,2.5,3040,8,1640,2920
465000.0,2.0,1840,7,1840,1380
673000.0,2.5,2990,9,2990,2140
810000.0,2.5,3520,10,3520,3400
785000.0,2.75,2440,8,1910,2770
338000.0,3.0,2090,7,1370,1810
280000.0,2.25,1430,7,1430,1430
315000.0,2.25,2180,7,1100,1810
530000.0,2.25,2180,7,1100,1810
380000.0,3.0,3450,9,3450,2860
297000.0,2.25,1450,7,1450,1650
730000.0,2.5,3230,10,3230,3480
450000.0,1.75,1640,7,1110,1770
275000.0,3.0,1590,7,1060,1680
595000.0,2.0,2020,7,2020,1910
435000.0,1.5,1300,7,1300,1590
270000.0,1.5,1380,6,1380,3130
950000.0,3.0,4040,10,3030,3360
389000.0,2.25,2130,7,2130,2300
560000.0,2.25,2550,8,1580,2420
1350000.0,3.5,4800,11,3480,4050
799000.0,2.25,2510,8,2510,2450
365500.0,2.0,1410,7,1410,1410
252350.0,2.0,1650,7,1160,1710
403950.0,2.5,2120,8,2120,1880
385000.0,1.5,2040,7,1380,1610
345000.0,1.0,1550,7,1550,1450
490000.0,2.75,1980,9,1980,1950
330000.0,2.5,1600,8,1600,1790
927000.0,2.75,3300,8,3300,3180
1118000.0,2.5,3840,10,3840,3600
330000.0,1.0,1220,7,1220,2000
530000.0,2.25,2720,7,1500,2110
365000.0,2.0,1940,8,1940,2000
378750.0,2.5,2160,7,1260,1060
269900.0,1.75,1530,7,1530,1390
557000.0,3.5,1710,8,1290,1630
360000.0,1.75,3730,7,2150,1880
352000.0,1.0,940,7,940,1560
437000.0,2.5,1750,8,1750,2430
322500.0,2.5,1820,7,1820,1820
650000.0,3.25,1510,9,1330,1510
450000.0,2.0,1290,8,1290,1290
278500.0,2.0,1570,7,1570,1570
364950.0,2.5,1930,8,1930,2090
840000.0,3.5,2840,10,2840,3180
268000.0,2.5,1550,7,1550,1550
517534.0,1.0,833,5,833,1380
632925.0,2.5,2990,8,2990,2990
577500.0,2.5,2000,9,2000,2450
339000.0,1.5,2390,7,2390,2850
570000.0,1.75,2910,7,1530,2520
563500.0,1.75,2085,7,1610,2690
423000.0,2.25,2200,7,1290,1910
355000.0,2.25,1860,8,1860,2320
1550000.0,4.25,6070,12,6070,4680
482000.0,1.0,950,7,950,1320
625000.0,1.75,1600,7,1600,1580
538000.0,2.5,2250,8,2250,2360
380000.0,2.5,2280,8,2280,2310
375000.0,1.0,940,7,940,1300
245000.0,2.5,1530,7,1030,1850
310000.0,1.75,2190,7,2190,1620
1300000.0,2.0,2350,8,1770,3530
397000.0,2.0,1440,7,1200,1460
365000.0,2.5,2200,8,2200,2310
328500.0,3.0,2290,9,2290,2290
988000.0,3.0,4040,11,4040,3930
1000000.0,2.5,2610,8,1920,1810
237000.0,2.5,1490,7,1490,1490
525000.0,2.5,2450,8,2450,2300
749000.0,2.5,1710,9,1440,2140
722500.0,2.5,4870,10,3470,3180
843000.0,2.5,3130,10,3130,2860
438000.0,2.0,1270,8,1270,1610
578000.0,1.75,2120,8,1540,2460
227950.0,1.5,1670,7,1670,2077
196000.0,2.25,2070,7,2070,1890
641000.0,1.0,1420,8,1070,2400
350000.0,1.5,1250,6,1250,1930
205000.0,1.0,940,7,940,1150
400000.0,1.75,1920,7,1920,1920
1030000.0,2.5,3545,10,2610,3630
505000.0,2.0,1260,7,1260,1510
475000.0,2.5,2340,7,1300,1930
520000.0,2.25,2590,8,1440,2580
1450000.0,4.5,3970,10,3260,2610
333500.0,1.75,1220,7,1220,1630
232000.0,1.0,1400,6,1400,1230
691100.0,2.75,2360,8,1710,2120
811000.0,1.75,1870,8,1870,1900
551000.0,2.5,2830,9,2830,2500
496500.0,2.5,2260,8,2260,2350
705000.0,3.0,1970,9,1770,2280
578000.0,2.5,3140,9,1770,2460
255000.0,1.75,1240,7,1240,1490
1050000.0,3.5,3450,10,3450,3220
348000.0,2.25,2570,8,2570,2400
230000.0,2.0,1510,7,1510,1570
359500.0,2.25,2390,9,2390,2480
330000.0,1.0,980,6,980,1220
80000.0,0.75,430,4,430,1200
465000.0,1.75,1480,7,1480,1480
325000.0,2.5,1850,8,1850,2100
340500.0,2.0,2270,7,1920,1770
342500.0,2.5,1810,8,1810,1810
290900.0,2.0,1610,6,1610,1310
868700.0,4.25,3840,10,3840,3230
1199000.0,2.75,4110,9,3130,2820
1150000.0,3.25,4190,11,3150,4300
859900.0,2.75,3390,9,3390,3390
520000.0,2.25,1890,7,1890,1580
460000.0,2.5,1610,9,1080,1610
438924.0,1.5,1050,7,850,1770
315000.0,1.0,630,5,630,1420
590000.0,2.75,2910,8,1780,2920
378500.0,1.75,1700,7,850,1620
328500.0,2.5,1950,9,1950,2350
849950.0,3.0,2990,8,2990,2230
525000.0,1.5,1350,7,900,1730
1385000.0,3.25,4860,9,4860,3850
295000.0,2.5,2160,8,1460,2060
1067000.0,3.5,4860,11,3860,3600
207950.0,2.0,890,6,890,1860
699900.0,2.75,2810,9,2810,2820
1280000.0,2.5,3400,8,3400,3080
452000.0,1.5,1580,7,960,1560
370000.0,2.0,1680,7,1680,1680
232000.0,1.75,1300,7,1300,1300
669950.0,2.5,2820,7,2380,1910
397500.0,2.0,1510,7,1070,1660
490000.0,2.5,1230,8,870,1240
725000.0,2.0,2110,9,1710,1440
299000.0,2.75,3080,7,1610,2424
625000.0,1.5,1490,7,1190,1590
437500.0,2.5,2120,7,2120,2530
650000.0,2.5,3180,9,3180,3030
475000.0,1.0,1490,7,860,1460
342000.0,2.0,1930,8,1930,2200
1197350.0,2.5,2770,10,2770,2720
280000.0,1.5,1670,7,1670,1930
240000.0,1.75,1330,7,1330,1450
529000.0,1.0,1210,7,1210,1640
442000.0,1.0,1190,7,1030,1690
615000.0,1.0,1540,7,820,1420
1485000.0,3.75,4030,10,4030,2160
585000.0,1.75,2430,8,1580,1980
480000.0,2.5,2600,8,2600,2830
1095000.0,3.5,4410,9,4410,2900
290000.0,1.0,1330,7,1330,1220
615000.0,1.75,1900,7,950,1770
300000.0,1.0,1100,7,1100,1460
308000.0,1.0,1980,6,1580,1860
750000.0,2.5,2400,9,2400,2080
2250000.0,2.25,4760,9,3390,2950
890000.0,3.25,3180,10,3180,2200
288000.0,1.0,1190,6,1190,1190
190000.0,1.0,630,6,630,1470
515000.0,3.0,2530,8,1520,2290
235000.0,1.5,1690,5,1690,1690
275000.0,1.0,940,6,940,940
727500.0,2.0,1240,7,1240,1380
650000.0,2.5,3040,7,3040,2740
1600000.0,5.0,6050,11,6050,4210
365000.0,1.0,1590,6,1590,1320
662000.0,1.75,2500,9,2500,2590
270500.0,2.5,1780,7,1320,1680
200000.0,1.5,1360,7,1360,1360
970000.0,3.25,4740,10,4740,3340
160000.0,1.5,1010,7,1010,1400
204000.0,1.0,1040,6,1040,1580
358000.0,2.25,1610,7,1610,1780
452000.0,1.75,1570,7,1570,1870
595000.0,2.0,1510,7,1010,1920
249000.0,2.0,1360,7,1360,1360
346900.0,2.5,1970,8,1970,2230
2125000.0,2.5,5403,12,5403,3980
280000.0,2.5,1560,7,1560,1560
318888.0,1.75,2320,8,2270,2120
530000.0,2.25,2120,8,2120,2480
375000.0,2.25,2120,8,2120,2120
910000.0,2.5,3350,11,3350,3920
782000.0,2.5,2380,10,2380,2560
259950.0,2.0,1070,9,720,1070
315000.0,2.75,2300,7,1560,1870
215000.0,1.0,1320,6,1320,1190
705000.0,1.75,2180,7,1140,2180
1450000.0,3.0,4380,10,3580,3080
451000.0,1.75,1790,7,1790,1520
261000.0,1.0,750,6,750,1340
396000.0,1.5,1300,7,1300,1570
725000.0,2.5,2990,9,2990,3715
1950000.0,3.5,4640,11,2860,3230
238000.0,1.0,1400,7,1400,1310
750000.0,1.75,2750,8,2750,2040
331500.0,2.5,2050,7,2050,2050
460000.0,3.0,2230,7,1410,1960
404950.0,2.25,2340,8,2340,2340
880000.0,2.5,2870,9,2870,1630
863000.0,2.5,4120,10,4120,3180
638700.0,1.75,2080,7,1370,1870
435000.0,2.5,1840,7,1840,1600
260000.0,1.0,1180,6,1180,1490
671500.0,2.75,2160,7,1530,2040
610000.0,1.0,1180,8,1180,1440
405000.0,0.75,1160,6,870,1870
338900.0,2.5,1830,7,1830,1830
720000.0,4.0,3200,10,3200,3480
442000.0,3.0,2560,7,1760,1080
650000.0,2.75,2550,8,2550,1590
263500.0,1.75,1330,7,1040,1330
300000.0,1.0,1220,7,1220,2010
266000.0,2.5,1805,7,1805,2095
930000.0,4.0,6050,9,4150,2700
530000.0,2.5,2320,8,2320,2450
180000.0,1.0,1384,6,1384,1000
619000.0,2.5,2720,9,2720,3180
264000.0,1.5,1820,7,1820,1380
730000.0,2.25,2130,7,1530,2130
439000.0,2.25,2060,7,2060,2060
268500.0,1.75,1420,7,1080,1500
330000.0,1.75,1510,7,1510,1470
640000.0,2.5,2160,8,1960,2160
900000.0,2.5,3180,11,3180,3030
370000.0,2.25,2110,8,2110,2470
685000.0,2.0,2060,8,1330,1910
505000.0,1.5,1830,7,1010,2450
265000.0,1.75,1820,7,1820,2050
290000.0,2.5,1610,8,1610,1610
296000.0,2.5,1780,7,1780,2020
360000.0,2.5,1840,7,1840,1830
240500.0,1.75,1460,7,990,1220
372500.0,2.5,1400,8,1400,1540
595000.0,2.5,3370,9,3370,3330
515000.0,3.0,3590,9,3590,2860
1220000.0,2.25,3200,9,3200,3070
507000.0,1.75,1670,8,1670,2170
399950.0,2.0,2420,9,2420,2560
185000.0,1.75,1430,7,1430,1560
460000.0,1.75,1440,7,1440,1440
435500.0,2.25,1450,7,1450,1560
469000.0,2.75,3550,8,2100,2050
531000.0,3.0,1270,8,1110,1290
443500.0,1.0,940,7,940,1150
223000.0,2.0,1670,7,1300,1660
590000.0,3.5,3100,8,2400,2200
340000.0,2.5,1100,7,1100,1200
650000.0,2.0,1870,8,1230,1780
533600.0,2.5,1930,8,1930,2190
695000.0,2.75,2540,9,2540,2600
242000.0,1.75,1280,7,1280,1500
425000.0,2.25,1820,7,1280,1810
525000.0,2.25,1490,7,1490,1290
485000.0,2.5,1880,8,1880,2040
175000.0,1.0,1250,7,1250,1390
210000.0,2.0,1440,8,1440,1700
260000.0,2.5,1920,7,1920,1930
577000.0,2.5,2060,7,1330,1920
200000.0,1.5,1210,7,1210,1408
605000.0,1.75,1760,7,940,1530
325000.0,1.0,990,6,990,1440
289500.0,1.0,960,6,820,1200
559950.0,2.5,1660,9,1660,1660
1042500.0,1.75,1900,8,1330,2760
543500.0,2.25,1270,7,990,1920
480000.0,2.25,3250,9,3250,3110
218000.0,1.0,960,6,960,1080
565000.0,1.75,1330,7,960,1620
426700.0,1.75,2080,7,1600,1680
650000.0,2.5,2690,8,2130,2390
542000.0,1.0,890,7,770,1760
415000.0,1.75,1070,7,1070,1200
214000.0,1.0,1200,6,1200,1200
245000.0,1.5,1360,7,1360,1220
314500.0,2.0,2050,8,2050,2180
1120000.0,1.5,3000,9,2000,1820
378000.0,2.0,1300,7,800,950
305000.0,2.5,2250,7,1340,1540
595000.0,2.75,3740,8,1980,2620
729500.0,2.5,1660,9,1530,1510
430000.0,2.5,2360,7,2360,2360
240000.0,1.75,1760,7,1150,1760
545000.0,1.75,1680,7,1680,1680
530000.0,1.75,1320,7,870,1580
157000.0,1.0,870,6,870,1250
425000.0,1.0,1260,6,1260,1170
220000.0,1.0,1000,6,1000,1300
521000.0,1.75,2020,8,1550,2520
325000.0,1.0,1920,7,1120,2000
597500.0,2.0,2150,7,1380,1940
337000.0,2.5,1470,7,1470,1490
1000000.0,2.5,3180,10,3180,3000
3070000.0,2.5,3930,8,2330,2730
495000.0,1.0,990,6,990,1250
748000.0,3.5,2770,8,1970,2180
888000.0,1.5,1250,7,1250,1750
269900.0,1.75,1140,7,1140,1150
496500.0,2.5,2250,7,1550,2090
475000.0,2.5,1640,7,1640,1880
312000.0,1.5,1255,7,1255,1307
323000.0,1.0,1290,7,1290,1390
331000.0,1.75,1300,7,1300,1890
306000.0,1.5,1220,8,1220,1220
655000.0,2.5,2630,8,2630,1640
290000.0,1.5,1950,8,1950,1940
1250000.0,3.25,3160,9,2360,2220
460000.0,1.75,1550,7,860,1880
435000.0,2.5,1700,7,850,1380
664000.0,2.75,2510,8,1630,2390
865000.0,1.75,1800,8,1800,2180
385000.0,1.75,1800,8,1200,1800
497000.0,2.25,1870,7,1350,2230
280000.0,1.0,1010,7,1010,1150
188000.0,1.5,1120,6,1120,1690
478500.0,1.0,2090,8,1200,1850
1145000.0,3.5,4370,11,4370,4190
222000.0,2.0,1440,7,970,1440
799000.0,3.0,2580,8,2580,3440
609900.0,2.5,3190,10,3190,3250
413000.0,3.5,2380,7,1750,1620
400000.0,1.0,1420,7,1420,1110
802541.0,2.75,2990,9,2990,2870
320000.0,2.5,2680,8,2680,2430
507000.0,2.5,2730,7,2730,2730
387500.0,1.0,1220,6,1220,1490
396000.0,1.0,1500,7,1500,1820
373000.0,1.75,1830,8,1430,2140
1484900.0,2.5,4570,10,4570,3180
359900.0,2.25,2470,8,2470,2330
410000.0,1.0,800,6,670,1210
690000.0,2.5,2900,9,2900,2900
245000.0,2.0,1410,7,1410,1670
700000.0,2.5,2830,8,1610,2670
268000.0,1.75,1680,7,1100,2400
225000.0,1.75,1760,7,920,1350
980000.0,2.25,2240,8,2240,2300
